#Name	Distance(Mpc)	TYPE	frequency(GHz)
UVCet	0.0000026	Flare_Stars	5
ADLeo	0.0000047	Flare_Stars	5
ADLeo1	0.0000047	Flare_Stars	5
YZCmi	0.0000059	Flare_Stars	5
AUMic	0.00001	Flare_Stars	5
Algol	0.000028	Algol	8.3
HR1099	0.000031	RSCVn	8.3
SSCyg	0.000114	DN	8.6
0236+610	0.002	XRB	8.3
B1259-63	0.003	BinaryPulsars	4.8
V407Cyg	0.003	Nova	4.8
GROJ1655-40	0.0032	BHXRB	5
XTEJ1550-564	0.0044	BHXRB	4.8
V1723Aql	0.005	Nova	5
1909+048	0.0055	BHXRB	8.3
SS433	0.0055	BHXRB	4.8
CirX-1	0.0078	NSXRB	8.6
MAXIJ1836-194	0.008	BHXRB	4.8
2030+407	0.008	XRB	8.3
CygX-3	0.008	XRB	5
GX339-4	0.008	BHXRB	4.8
XTEJ1748-288	0.008	BHXRB	8.3
XTEJ1859+226	0.008	BHXRB	8.3
1915+105	0.011	BHXRB	8.3
SN2008iz	3.5	SN	5
SN1993J	3.6	SN	5
SN1980K	6.3	SN	5
SN2011dh	8.4	SN	4.9
SN1994I	8.9	SN	5
SN2008ax	9.6	SN	4.86
NGC4278	14.9	AGN	5
SN2003bg	19.6	SN	5
NGC7213	22	AGN	4.8
SN1998bw	38	SN	5
SN1988z	102.6	SN	5
3C120	142	BLAZAR	5
2200+420	305	BLAZAR	8.3
BL_Lacertae	305	BLAZAR	4.8
GRB030329	587	GRB	5
3C273	749	BLAZAR	5
PKS2004-447	1192	AGN	6.65
1413+135	1232	BLAZAR	8.3
GRB110709B	1460	GRB	5.8
Swift1644	1500	TDE	4.9
0851+202	1577	BLAZAR	8.3
0954+658	1951	BLAZAR	8.3
0954+65	1951	BLAZAR	5
0224+671	2980	BLAZAR	8.3
3C279	3071	BLAZAR	5
0850-121	3281	BLAZAR	8.3
3C345	3470	BLAZAR	5
1803+784	4107	BLAZAR	4.8
1622-297	5142	BLAZAR	8.3
GRB970508	5299	GRB	4.86
0336-019	5433	BLAZAR	8.3
3C454.3	5489	BLAZAR	5
B0605-085	5592	BLAZAR	4.8
NRAO530	5833	BLAZAR	4.8
AO0235+164	6141	BLAZAR	4.8
2223-052	10138	BLAZAR	4.8
GRB060418	10917	GRB	8.5
0528+134	16418	BLAZAR	8.3
0528+134p	16418	BLAZAR	4.8
0458-020	18551	BLAZAR	4.8
CygX-2	0.0072	NSXRB	8.3
GX13+1	0.007	NSXRB	5
SGR1806-20	0.009	Magnetar	4.8
Sco2012	0.005	Nova	4.6
RSOph	0.0016	Nova	5
RZCAS	0.000063	Algol	5
SN2004cc	18	SN	8.5
SN2004dk	23	SN	8.5
SN2004gq	26	SN	8.5
SN2003L	92	SN	8.5
TPyx	0.0048	Nova	5
V1500Cyg	0.0014	Nova	8.1
V1974Cyg	0.002	Nova	5
CFOct	0.0003	RSCVn	8.4
1237+049	13336	BLAZAR	8.3
1328+254	7093	QSO	8.3
CTA102	6942	BLAZAR	4.8
IIIz2	403	AGN	8
NRAO150	11193	BLAZAR	4.8
ScoX-1	0.0028	NSXRB	8.3
UXAri	0.00005	RSCVn	8.3
1749+096	1673	BLAZAR	8.3
2005+403	13205	BLAZAR	8.3
CygX-1	0.00186	BHXRB	8.3
CICam	0.01	XRB	8.3
GX17+2	0.0075	NSXRB	8.3
deltalib	0.000095	Algol	8.3
aqlX1	0.005	NSXRB	8.3
V834Cen	0.00008	magCV	8.4
AEAqr	0.000084	magCV	4.9
M31ULX	0.78	ULX	5.26
V404Cyg	0.00239	XRB	15
ASASSN-14li	90	TDE	5
